Age,Gender,Married,Education,ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_Status
31,Female,No,Graduate,99338,36126,423660,1,Urban,1
58,Female,Yes,Not Graduate,98260,5407,354106,1,Urban,1
35,Female,Yes,Graduate,59855,7700,155309,1,Rural,1
33,Female,No,Graduate,35359,7951,367298,0,Urban,0
56,Female,Yes,Graduate,36345,30345,234189,0,Urban,1
40,Female,Yes,Not Graduate,21995,21169,179334,1,Semiurban,1
37,Female,No,Graduate,93043,2186,477724,1,Urban,1
50,Male,No,Not Graduate,90080,17252,202677,1,Semiurban,1
21,Male,Yes,Graduate,65373,3025,248935,1,Semiurban,1
56,Female,Yes,Graduate,59537,39209,134919,1,Semiurban,1
38,Female,Yes,Graduate,75968,24720,121338,1,Rural,1
48,Female,Yes,Graduate,88019,34799,374993,1,Urban,1
34,Female,Yes,Graduate,44145,25024,373436,0,Semiurban,0
55,Female,No,Graduate,14144,2460,466216,0,Urban,0
36,Male,No,Graduate,13359,5773,215057,0,Rural,0
43,Female,Yes,Not Graduate,31139,6310,401310,1,Urban,1
26,Male,No,Graduate,45269,12936,130263,1,Rural,1
26,Female,Yes,Graduate,42595,36160,174692,1,Semiurban,1
57,Male,Yes,Graduate,34903,11047,289803,0,Rural,0
48,Male,No,Not Graduate,61046,36092,176553,1,Semiurban,1
29,Male,No,Graduate,42368,25575,134970,1,Urban,1
48,Male,Yes,Not Graduate,38578,32087,155473,0,Urban,1
53,Male,Yes,Graduate,37625,28795,80687,1,Rural,1
25,Male,No,Graduate,62314,22390,130925,1,Semiurban,1
22,Female,No,Graduate,87513,19965,60282,1,Urban,1
55,Female,Yes,Graduate,95805,23398,90775,1,Urban,1
32,Male,Yes,Graduate,43235,8889,101380,0,Semiurban,1
45,Female,No,Graduate,77022,4189,488090,1,Urban,1
21,Female,No,Graduate,59908,33870,278331,1,Semiurban,1
32,Female,No,Graduate,29866,31242,222613,1,Rural,1
36,Female,No,Graduate,58881,6682,109785,0,Urban,1
48,Male,Yes,Graduate,98335,24287,223768,1,Rural,1
53,Male,Yes,Graduate,67718,14308,75164,1,Semiurban,1
59,Female,No,Graduate,44561,30653,174107,1,Urban,1
55,Male,No,Not Graduate,31129,17249,107446,1,Semiurban,1
40,Female,No,Graduate,22840,28983,370009,1,Semiurban,0
45,Male,No,Not Graduate,77554,28698,439430,1,Semiurban,1
48,Female,Yes,Graduate,30045,4536,400267,1,Rural,1
54,Male,No,Graduate,76976,27939,192003,1,Urban,1
40,Male,Yes,Graduate,65077,39241,215930,0,Urban,1
32,Male,No,Graduate,49245,1836,60414,1,Urban,1
42,Male,No,Graduate,74981,39186,226816,1,Urban,1
54,Female,Yes,Graduate,73810,37803,455722,0,Urban,1
22,Male,Yes,Graduate,98406,6038,379533,1,Semiurban,1
30,Male,Yes,Graduate,65304,22417,473615,1,Rural,1
39,Male,No,Graduate,97687,37727,102306,1,Urban,1
27,Male,No,Graduate,73657,1435,249364,1,Semiurban,1
54,Male,Yes,Not Graduate,71928,6974,216374,0,Rural,1
30,Female,No,Not Graduate,41685,4131,235428,1,Semiurban,1
35,Male,No,Graduate,97117,20149,378561,1,Urban,1
26,Male,No,Graduate,56176,16132,284251,0,Semiurban,0
37,Male,Yes,Graduate,62996,27114,233550,1,Urban,1
